Tabla 1;;;;;;;
Título;Fecha ;Dimensiones;Técnica  ;Archivo;;;
"Los Suicidas del Sisga No 1
";1965;120x100cm;Óleo sobre lienzo;suicidas-sisga-1.jpg;;;
"Doble suicidio en ""El Sisga""";Junio 29 1965;;El Tiempo;doble-suicidio-el-tiempo.jpg;;;
El Paraíso;1997;160x45 cm;Óleo sobre lienzo;indigena-hijo-el-tiempo.jpg;;;
Láminas de paisajes latinoamericanos;;;;"laminas-paisajes.jpg
";;;
Zócalo de la tragedia;1983;100x70;Tipografía sobre papel;zocalo-tragedia.jpg;;;
Exmilitar Mata a la Esposa de su Amigo y se Suicida;;;;exmilitar-mata-esposa.jpg;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;